valid,1

"Full Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,776.375652,12.584114,1,S,,,,,,"ref iteration #1"
400.perlbench,9770,771.244778,12.667833,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,777.854831,12.560184,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,1565.249411,6.165152,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,1562.714912,6.175151,1,S,,,,,,"ref iteration #2"
401.bzip2,9650,1561.676592,6.179256,0,S,,,,,,"ref iteration #3"
403.gcc,8050,730.081661,11.026164,0,S,,,,,,"ref iteration #1"
403.gcc,8050,730.155624,11.025047,1,S,,,,,,"ref iteration #2"
403.gcc,8050,731.049225,11.01157,0,S,,,,,,"ref iteration #3"
429.mcf,9120,599.75014,15.206332,0,S,,,,,,"ref iteration #1"
429.mcf,9120,598.111386,15.247996,1,S,,,,,,"ref iteration #2"
429.mcf,9120,574.779929,15.866942,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,1201.118205,8.733528,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,1198.991187,8.749022,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,1199.732659,8.743615,1,S,,,,,,"ref iteration #3"
456.hmmer,9330,2374.405819,3.929404,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,2375.856168,3.927005,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,2374.942939,3.928515,1,S,,,,,,"ref iteration #3"
458.sjeng,12100,1284.980229,9.416487,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,1283.287638,9.428907,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,1283.927934,9.424205,1,S,,,,,,"ref iteration #3"
462.libquantum,20720,1117.414344,18.542808,0,S,,,,,,"ref iteration #1"
462.libquantum,20720,1119.755191,18.504045,1,S,,,,,,"ref iteration #2"
462.libquantum,20720,1120.082478,18.498638,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,2055.506792,10.766201,0,S,,,,,,"ref iteration #1"
464.h264ref,22130,2047.341737,10.809138,1,S,,,,,,"ref iteration #2"
464.h264ref,22130,2046.452936,10.813833,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,851.939144,7.336205,1,S,,,,,,"ref iteration #1"
471.omnetpp,6250,852.340967,7.332746,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,851.327108,7.341479,0,S,,,,,,"ref iteration #3"
473.astar,7020,1182.741081,5.935365,0,S,,,,,,"ref iteration #1"
473.astar,7020,1175.395022,5.97246,0,S,,,,,,"ref iteration #2"
473.astar,7020,1177.80155,5.960257,1,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,2079.11104,3.318726,0,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,2086.81179,3.306479,0,S,,,,,,"ref iteration #2"
483.xalancbmk,6900,2086.220516,3.307416,1,S,,,,,,"ref iteration #3"

"Selected Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,776.375652,12.584114,1,S,,,,,NR,"SelectedIteration (base #1)"
401.bzip2,9650,1562.714912,6.175151,1,S,,,,,NR,"SelectedIteration (base #2)"
403.gcc,8050,730.155624,11.025047,1,S,,,,,NR,"SelectedIteration (base #2)"
429.mcf,9120,598.111386,15.247996,1,S,,,,,NR,"SelectedIteration (base #2)"
445.gobmk,10490,1199.732659,8.743615,1,S,,,,,NR,"SelectedIteration (base #3)"
